team_name,condition,time,fitness
overlapping,synchronic,46,-8350.0
overlapping,synchronic,47,-7713.0
overlapping,synchronic,48,-7406.25
overlapping,synchronic,49,-7161.25
overlapping,synchronic,50,-7161.25
overlapping,synchronic,51,-6922.25
overlapping,synchronic,52,-6922.25
overlapping,synchronic,53,-6174.0
overlapping,synchronic,54,-6144.25
overlapping,synchronic,55,-6144.25
overlapping,synchronic,56,-5684.25
overlapping,synchronic,57,-5574.25
overlapping,synchronic,58,-5018.5
overlapping,synchronic,59,-5018.5
overlapping,synchronic,60,-4322.5
overlapping,synchronic,61,-4322.5
overlapping,synchronic,62,-4322.5
overlapping,synchronic,63,-3950.0
overlapping,synchronic,64,-3950.0
overlapping,synchronic,65,-3885.0
overlapping,synchronic,66,-3478.0
overlapping,synchronic,67,-3478.0
overlapping,synchronic,68,-3441.25
overlapping,synchronic,69,-3441.25
overlapping,synchronic,70,-3441.25
overlapping,synchronic,71,-3441.25
overlapping,synchronic,72,-3334.0
overlapping,synchronic,73,-3334.0
overlapping,synchronic,74,-3334.0
overlapping,synchronic,75,-3334.0
overlapping,synchronic,76,-2994.25
overlapping,synchronic,77,-2552.5
overlapping,synchronic,78,-2283.25
overlapping,synchronic,79,-2123.25
overlapping,synchronic,80,-2053.0
overlapping,synchronic,81,-2053.0
overlapping,synchronic,82,-2053.0
overlapping,synchronic,83,-1889.25
overlapping,synchronic,84,-1798.0
overlapping,synchronic,85,-1690.5
overlapping,synchronic,86,-1574.25
overlapping,synchronic,87,-1574.25
overlapping,synchronic,88,-1376.0
overlapping,synchronic,89,-1376.0
overlapping,synchronic,90,-1376.0
overlapping,synchronic,91,-1376.0
overlapping,synchronic,92,-1345.0
overlapping,synchronic,93,-1345.0
overlapping,synchronic,94,-1345.0
overlapping,synchronic,95,-1345.0
overlapping,synchronic,96,-1345.0
overlapping,synchronic,97,-1345.0
overlapping,synchronic,98,-1345.0
overlapping,synchronic,99,-1345.0
disjoint,synchronic,0,-18428.25
disjoint,synchronic,1,-18428.25
disjoint,synchronic,2,-17773.0
disjoint,synchronic,3,-17773.0
disjoint,synchronic,4,-17013.0
disjoint,synchronic,5,-17013.0
disjoint,synchronic,6,-16921.25
disjoint,synchronic,7,-16662.5
disjoint,synchronic,8,-16662.5
disjoint,synchronic,9,-16546.5
disjoint,synchronic,10,-16300.0
disjoint,synchronic,11,-16300.0
disjoint,synchronic,12,-16300.0
disjoint,synchronic,13,-16300.0
disjoint,synchronic,14,-15500.5
disjoint,synchronic,15,-15500.5
disjoint,synchronic,16,-15500.5
disjoint,synchronic,17,-14977.0
disjoint,synchronic,18,-14741.0
disjoint,synchronic,19,-14475.25
