team,landscape,strategy,labor_hours,starting_pos,seed,time,pos,fitness
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,42,"[-65, -59]",-7706
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,43,"[-65, -59]",-7706
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,44,"[-65, -59]",-7706
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,45,"[-65, -59]",-7706
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,46,"[-62, -56]",-6980
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,47,"[-62, -56]",-6980
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,48,"[-63, -53]",-6778
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,49,"[-63, -53]",-6778
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,50,"[-61, -52]",-6425
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,51,"[-59, -49]",-5882
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,52,"[-56, -51]",-5737
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,53,"[-56, -51]",-5737
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,54,"[-56, -51]",-5737
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,55,"[-56, -51]",-5737
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,56,"[-56, -51]",-5737
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,57,"[-51, -54]",-5517
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,58,"[-51, -54]",-5517
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,59,"[-52, -51]",-5305
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,60,"[-48, -54]",-5220
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,61,"[-48, -54]",-5220
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,62,"[-48, -54]",-5220
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,63,"[-44, -57]",-5185
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,64,"[-44, -57]",-5185
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,65,"[-44, -57]",-5185
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,66,"[-44, -57]",-5185
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,67,"[-44, -53]",-4745
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,68,"[-40, -52]",-4304
